Comment,normalized_text,hate_label,ollama_raw_response
ముందు డాన్సులు కాదు అమ్మ బంగారు అక్క. చాలా ఘోరాలు జరుగుతున్నాయి. వాటిని ఖండించమను బంగారు అక్క.,ముందు డాన్సులు కాదు అమ్మ బంగారు అక్క. చాలా ఘోరాలు జరుగుతున్నాయి. వాటిని ఖండించమను బంగారు అక్క.,0,"{""results"":[{""id"":""0"",""label"":0}]}"
వారందరూ వారి కుటుంబ సభ్యులు భారత దేశ ప్రజలు అందరూ నిండు నూరేళ్ళు అన్ని విధాలా బాగా జాగ్రత్త గా ఉండాలి అని సతుల సమేత భగవంతుని కి.. ప్రార్ధనలు,వారందరూ వారి కుటుంబ సభ్యులు భారత దేశ ప్రజలు అందరూ నిండు నూరేళ్ళు అన్ని విధాలా బాగా జాగ్రత్త గా ఉండాలి అని సతుల సమేత భగవంతుని కి.. ప్రార్ధనలు,0,"{""results"":[{""id"":""1"",""label"":0}]}"
దానికి పైత్యం..అది నీకు వికారంగా ఉందా😂,దానికి పైత్యం..అది నీకు వికారంగా ఉందా <emoji: tears of joy>,0,"{""results"":[{""id"":""2"",""label"":0}]}"
ఇదీ ప్రారంభం మాత్రమే ఊర్ఫి జావెద్ అని ఓ ఆవిడా లా చేసే ముందు ఈ లా,ఇదీ ప్రారంభం మాత్రమే ఊర్ఫి జావెద్ అని ఓ ఆవిడా లా చేసే ముందు ఈ లా,0,"{""results"":[{""id"":""3"",""label"":0}]}"
"కళా, కళాకారులూ అనీ మన సమాజం దేవుళ్ళ గా చూస్తారే అదీ అసలు తప్పు...","కళా, కళాకారులూ అనీ మన సమాజం దేవుళ్ళ గా చూస్తారే అదీ అసలు తప్పు..",0,"{""results"":[{""id"":""4"",""label"":

0}]}"
అదే అమ్మాయి  రేప్ అయితే దేకెవడు ఉండదు. వెల్కమ్ టు ఇండియా,అదే అమ్మాయి రేప్ అయితే దేకెవడు ఉండదు. వెల్కమ్ టు ఇండియా,0,"{""results"":[{""id"":""5"",""label"":0}]}"
"నీ బొంద,నీ బొంద. అంత బాగా డ్యాన్సేస్తుంటే, వికృతం అంటావేంటీ? మడిశన్నాక కాసింత కళాపోషణ ఉండాల.","నీ బొంద,నీ బొంద. అంత బాగా డ్యాన్సేస్తుంటే, వికృతం అంటావేంటీ? మడిశన్నాక కాసింత కళాపోషణ ఉండాల.",0,"{""results"":[{""id"":""6"",""label"":0}]}"
యాంకర్ చున్నీ మర్చిపోయింది కెమెరామెన్ చూసుకోవాలి కదా,యాంకర్ చున్నీ మర్చిపోయింది కెమెరామెన్ చూసుకోవాలి కదా,0,"{""results"":[{""id"":""7"",""label"":0}]}"
నీకేం కావాలి,నీకేం కావాలి,0,"{""results"":[{""id"":""8"",""label"":0}]}"
పెంపకం,పెంపకం,0,"{""results"":[{""id"":""9"",""label"":0}]}"
మీ టీవీ9 అంటే ఒక వ్యభిచారి కొంప,మీ టీవీ9 అంటే ఒక వ్యభిచారి కొంప,0,"{""results"":[{""id"":""10"",""label"":0}]}"
వికృత చేష్ట అని థంబ్ నెయిల్ పెట్టినోడిదే వికృత చేష్ఠ.,వికృత చేష్ట అని థంబ్ నెయిల్ పెట్టినోడిదే వికృత చేష్ఠ.,0,"{""results"":[{""id"":""11"",""label"":0}]}"
చిరిగిన బట్టలతో మీ ఇంట్లో నృత్యం చేయండి.,చిరిగిన బట్టలతో మీ ఇంట్లో నృత్యం చేయండి.,0,"{""results"":[{""id"":""12"",""label"":0}]}"
ఆ jeans ఏంట్రా.. Inks konni బొక్కలు pedithe sari,ఆ jeans ఏంట్రా.. Inks konni బొక్కలు pedithe sari,0,"{""results"":[{""id"":""13"",""label"":0}]}"
తల్లిదండ్రులు లేరు,తల్లిదండ్రులు లేరు,0,"{""results"":[{""id"":""14"",""label"":0}]}"
సోషల్ మీడియా కంటే మన మీడియా ఏం మించిపోలేదు కదా బ్రో,సోషల్ మీడియా కంటే మన మీడియా ఏం మించిపోలేదు కదా బ్రో,0,"{""results"":[{""id"":""15"",""label"":0}]}"
తీటో తీటహ తీట్యోబ్యహ,తీటో తీటహ తీట్యోబ్యహ,0,"{""results"":[{""id"":""16"",""label"":0}]}"
అయిపోయింది,అయిపోయింది,0,"{""results"":[{""id"":""17"",""label"":0}]}"
ఒకపక్కా ammai la pranalu pothunte okkaokariki ollu balupekki ila thayaravthunnaru chadukomani pampisthe ilanti chestalu chesi......... Em cheppina weast ilantivallagurinchi,ఒకపక్కా ammai la pranalu pothunte okkaokariki ollu balupekki ila thayaravthunnaru chadukomani pampisthe ilanti chestalu chesi.. Em cheppina weast ilantivallagurinchi,0,"{""results"":[{""id"":""18"",""label"":0}]}"
“ముల్లొచ్చి ఆకుమీద పడ్డా ఆకొచ్చి ముల్లుమీద పడ్డా….” అనే రోజులు పోయాయి. మనదేశంలో ఒక పక్క ఆడవారిపై అత్యాచారాలు ఘోరాలు జరుగుతున్నాయని జనం గగ్గోలు పెడుతుంటే మరోపక్క వాళ్ళే బట్టలు చింపుకుని ఇలా డిస్కో అంటున్నారు. వినాశకాలే విపరీతబుద్ధి. ఆనక చింతించి లాభమేల!?,“ముల్లొచ్చి ఆకుమీద పడ్డా ఆకొచ్చి ముల్లుమీద పడ్డా..” అనే రోజులు పోయాయి. మనదేశంలో ఒక పక్క ఆడవారిపై అత్యాచారాలు ఘోరాలు జరుగుతున్నాయని జనం గగ్గోలు పెడుతుంటే మరోపక్క వాళ్ళే బట్టలు చింపుకుని ఇలా డిస్కో అంటున్నారు. వినాశకాలే విపరీతబుద్ధి. ఆనక చింతించి లాభమేల!?,0,"{""results"":[{""id"":""19"",""label"":0}]}"
గుంట బాగుంది,గుంట బాగుంది,0,"{""results"":[{""id"":""20"",""label"":0}]}"
మీకు న్యూస్ కావాలి వాళ్ళకి రీల్స్ కావాలి 😂😂,మీకు న్యూస్ కావాలి వాళ్ళకి రీల్స్ కావాలి <emoji: tears of joy> <emoji: tears of joy>,0,"{""results"":[{""id"":""21"",""label"":0}]}"
Andulo వికృతం ఏమి ఉంది ?? 😢😮,Andulo వికృతం ఏమి ఉంది?? <emoji: crying face> <emoji: open mouth>,0,"{""results"":[{""id"":""22"",""label"":0}]}"
మిగిలిన వాళ్ళు జాగ్రత్తగా ఉంటారు,మిగిలిన వాళ్ళు జాగ్రత్తగా ఉంటారు,0,"{""results"":[{""id"":""23"",""label"":0}]}"
వాళ్ళ అమ్మానాన్న పై చర్యలు తీసుకోవాలి,వాళ్ళ అమ్మానాన్న పై చర్యలు తీసుకోవాలి,0,"{""results"":[{""id"":""24"",""label"":0}]}"
